Product ID,Title,Current Price (Rs.),Original Price (Rs.),Discount (%),Items Sold,Rating (Stars),Review Count,Product URL
601102868145418,"Top pick2D Flat - [2D Flat] A Simple And Elegant Butterfly Welcome Sign And Plaque, Perfect for Home And Office Decor, Ideal for Living Rooms, Bedrooms, Patios, Kitchens, Cafes, Bars, And Country Cottage Styles. A Great Housewarming Or Birthday Gift for Family And Friends, Suitable for Use During 11 Different Holidays.Open in new tab.",621.0,,0,983929,4.6,38,https://www.temu.com/pk-en/2d-flat-2d-flat-a-simple-and-elegant--welcome-sign-and-plaque--home-and-office-decor-ideal-for-living-rooms-bedrooms-patios-kitchens-cafes-bars-and--styles-a-great-housewarming-or-birthday-gift-for--suitable-for-use-during-11--g-601102868145418.html
601102971841666,"Top pickHigh-Definition Scratch Resistant Acrylic Rectangular Rounded Corner Mirror, Suitable for Gym, Hotel, Bedroom, Home Use etc. #BathroomMirror#FullLengthMirror#DressingMirror#FloorAcrylicMirrorOpen in new tab.",3691.0,,0,710143,3.5,2,https://www.temu.com/pk-en/high-definition-scratch-resistant-acrylic-rectangular-rounded-corner--suitable-for-gym-hotel-bedroom-home-use-etc-bathroom-fulllength-dressing-flooracrylic-g-601102971841666.html
601099666525556,"Large Digital Wall Clock with Remote Control, Dual Alarm, DST, 10-Level Brightness, LED Night Light, USB Powered, Cordless or Plug-In Use, Ideal for Bedrooms, Living Rooms, or Offices (Batteries Not Included)Open in new tab.",10198.0,,0,8923200,4.8,305,https://www.temu.com/pk-en/large-digital-wall-clock-with-remote-control-dual-alarm-dst-10-level-brightness-led-night-light-usb-powered-cordless-or-plug-in-use-ideal-for-bedrooms-living-rooms-or-offices-batteries-not-included-g-601099666525556.html
601100042154988,"A set of mixed 12 artificial potted plants, mini white plastic flower pots suitable for decorative ornaments, green plants - indoor wall mounted ornaments for homes, offices, bathrooms, bookshelves, and desks. Spring and summer decorationOpen in new tab.",9550.0,,0,6514900,4.7,367,https://www.temu.com/pk-en/a-set-of-mixed-12-artificial-potted-plants-mini-white-plastic-flower-pots-suitable-for-decorative-ornaments--indoor-wall-mounted-ornaments-for--bathrooms-bookshelves-and-desks-spring-and-summer-decoration-g-601100042154988.html
,Affiliate & Influencer Program: Join to Earn,390.0,,0,291300,4.7,101,https://www.temu.com/pk-en/affiliate_influencer_program.html
,Return and refund policy,390.0,,0,291300,4.7,101,https://www.temu.com/pk-en/return-and-refund-policy.html
,Intellectual property policy,390.0,,0,291300,4.7,101,https://www.temu.com/pk-en/intellectual-property-policy.html
,Report suspicious activity,390.0,,0,291300,4.7,101,https://www.temu.com/pk-en/bgch_report_suspicious.html
,Temu purchase protection,390.0,,0,291300,4.7,101,https://www.temu.com/pk-en/temu-purchase-protection.html
,Privacy policy,390.0,,0,291300,4.7,101,https://www.temu.com/pk-en/privacy-and-cookie-policy.html?title=Privacy%20%26%20Cookie%20Policy&_bg_fs=0
,Your privacy choices,390.0,,0,291300,4.7,101,https://www.temu.com/pk-en/bgp-privacy-policy-and-setting.html
,Ad Choices,390.0,,0,291300,4.7,101,https://www.temu.com/pk-en/cookie-and-similar-technologies-policy.html?anchor_id=limit_interest_base_advertising
